iter	Logloss
0	0.6381205342
1	0.6116826212
2	0.5717523816
3	0.5406836493
4	0.5158664891
5	0.4856543323
6	0.4611561559
7	0.4328110362
8	0.4151687202
9	0.3959594119
10	0.380462695
11	0.3609728428
12	0.3466468632
13	0.3297296053
14	0.3119106003
15	0.2992908535
16	0.2850158086
17	0.275119682
18	0.2614576079
19	0.2497207044
20	0.2443517571
21	0.2344938802
22	0.2255379731
23	0.2176286007
24	0.2140727573
25	0.2080595169
26	0.2029604305
27	0.1981100854
28	0.1967420434
29	0.1887760515
30	0.1823901309
31	0.1747648421
32	0.168026738
33	0.1626155654
34	0.1556224188
35	0.1494877403
36	0.1457691314
37	0.1416651965
38	0.1373162485
39	0.1323285033
40	0.129568458
41	0.1269596877
42	0.1243703612
43	0.1211516499
44	0.1181021251
45	0.1168187014
46	0.1125891985
47	0.1084996716
48	0.107876121
49	0.1057408282
50	0.1018373652
51	0.09891227075
52	0.09517011631
53	0.09262576868
54	0.09006626262
55	0.0870203871
56	0.08417761193
57	0.08210477595
58	0.07864776449
59	0.07684593147
60	0.07462275091
61	0.07216534089
62	0.07128219527
63	0.06937619598
64	0.06705352718
65	0.06384045177
66	0.06225614233
67	0.06114305085
68	0.05867156734
69	0.05691177023
70	0.05526247376
71	0.05288635058
72	0.05094438851
73	0.04933223478
74	0.0481755858
75	0.04627182386
76	0.04554841412
77	0.04445853479
78	0.04324441001
79	0.0416749813
80	0.04015300218
81	0.03920239331
82	0.03681430467
83	0.03543586223
84	0.03396384116
85	0.03289043932
86	0.03190756693
87	0.03166449438
88	0.0309350375
89	0.02995070294
90	0.02930022739
91	0.02884435348
92	0.02818924542
93	0.02744974825
94	0.02677156444
95	0.02626336052
96	0.0256627423
97	0.02487133644
98	0.02445409802
99	0.02404252551
